roles,companies,locations,experience,skills,Dates,PresentDate,salary
SOB Business Development Manager,OYO,"Chennai, Bengaluru, Mumbai (All Areas)",3-8 Yrs,Franchisee DevelopmentProperty AcquisitionAcquisitionDevelopmentBusiness developmentPropertyManagementFranchise,18 Days Ago,24-11-2024,6-13 Lacs PA
Counter Sales RR Nagar,Orra Fine Jewellery,"Hyderabad, Bangalore Rural, Mumbai (All Areas)",1-6 Yrs,JewelleryCounter Salesplan salesPresentableExhibitionseventEventsRTR,15 Days Ago,24-11-2024,2.75-4.5 Lacs PA
Store Manager,Nilkamal,Bengaluru(Marathahalli),4-9 Yrs,Retail Store OperationsStore SupervisionShowroom ManagementTeam handlingRetail ManagementstoreSupervisionStore management,2 Days Ago,24-11-2024,Not disclosed
Pastry Chef - Six Senses Fort Barwara,IHG Hotels & Resorts,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,TrainingPurchaseCostingNutritionFinanceFocusLegalPastry Chef,4 Days Ago,24-11-2024,Not disclosed
Commis -1 (Continental Cuisine),IHG Hotels & Resorts,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-6 Yrs,butcherybakeryfood productiondcdpcommisitalianmexicancontinental cuisine,4 Days Ago,24-11-2024,Not disclosed
Manager IT Analytics,Hindustan Coca Cola Beverages (HCCB),Bengaluru,8-12 Yrs,Azure Data WarehouseAzure DatabricksAzure Data FactoryAzure Data LakePythonADFSQL AzureELT,2 Days Ago,24-11-2024,Not disclosed
Hiring - Sr. Sales Officer / Relationship Manager - Mumbai & Bangalore,Healthkart,"Navi Mumbai, Bengaluru",2-7 Yrs,Distributor SalesB2B SalesDealer ManagementChannel SalesFMCG SalesDistribution Channel SalessalesHiring,13 Days Ago,24-11-2024,3-5 Lacs PA
Assistant Manager - Learning & Quality,IHG Hotels & Resorts,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",6-10 Yrs,apqpisoquality controlquality auditspcincoming qualitykaizenquality analysis,4 Days Ago,24-11-2024,Not disclosed
Head of Institute - School of Beauty - Pan India,Vlcc,"Hyderabad, Navi Mumbai, Bengaluru",6-10 Yrs,Revenue GenerationTarget AchievementHead of InstituteTarget salesEducation CounselingCentre HeadCareer CounsellingStudent Counseling,18 Days Ago,24-11-2024,Not disclosed
Sous Chef Conti,Taj Hotels,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",12-14 Yrs,banquetsbutcheryfood productionitalianthaimexicancontichinese,2 Days Ago,24-11-2024,Not disclosed
