roles,companies,locations,experience,skills,Dates,PresentDate,salary
Team Member - Indirect taxation,Adani Power (APL),"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Service taxDue diligenceSkill developmentAudit reportVATCentral exciseM&AIndirect taxation,3 Days Ago,24-11-2024,Not disclosed
TEAM MEMBER SAFETY,Adani Power (APL),"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,MiningIndustrial safetyClaimsPublishingRisk assessmentInstrumentationManagementMachinery,3 Days Ago,24-11-2024,Not disclosed
CCR OPERATOR,Adani Power (APL),"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,Quality standardsSAPCCR OperatorISO systemsRaw materialIndividual ContributorTroubleshootingOperations,3 Days Ago,24-11-2024,Not disclosed
Senior Officer,Adani Power (APL),"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,Cost reductionSolar energythermalInventory managementInstrumentationSystem developmentPerformance monitoringPreventive maintenance,3 Days Ago,24-11-2024,Not disclosed
Project Lead Engineer,Hitachi Energy,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-7 Yrs,ProcurementElectrical designManager Quality AssuranceTeam managementProject managementAnalyticalContinuous improvementTechnical support,3 Days Ago,24-11-2024,Not disclosed
Engineer Sales (Motors),Bharat Bijlee,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Ahmedabad, Bengaluru",5-12 Yrs,Engineer Sales (Motors)Sales engineeringSalesMotors,30+ Days Ago,24-11-2024,Not disclosed
Associate Lead-EHS,Adani Group,"Noida, Navi Mumbai, Pune",8-12 Yrs,EHSHigh Rise BuildingHIRARisk AssessmentDocumentationSafety ComplianceHazard AnalysisSafety Inspection,4 Days Ago,24-11-2024,Not disclosed
Technical Officer,Bernhard Schulte Shipmanagement India,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",1-8 Yrs,ProcurementTechnical SuperintendentService deliveryPurchaseSupply chain managementTechnical servicesProject managementManagement,2 Days Ago,24-11-2024,Not disclosed
Deputy Manager,Adani Power (APL),"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",7-12 Yrs,insuranceteam trainingsapespteam managementteam motivationteam handlingsales,3 Days Ago,24-11-2024,Not disclosed
Senior Engineer,Adani Power (APL),"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",3-7 Yrs,team trainingteam managementteam motivationproductionteam handlingcustomer serviceequipmentteam coaching,3 Days Ago,24-11-2024,Not disclosed
Deputy Manager,Adani Power (APL),"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",8-10 Yrs,ProcurementCondition monitoringCoalCHPBudgetingPreventive maintenancePerformance improvementInventory,3 Days Ago,24-11-2024,Not disclosed
Deputy Manager,Adani Power (APL),"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",8-10 Yrs,HousekeepingPTWStock managementBusiness process transformationCompliancethermalJSAMonitoring,3 Days Ago,24-11-2024,Not disclosed
Assistant Manager,Adani Power (APL),"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",7-10 Yrs,ProcurementCondition monitoringCoalCHPBudgetingPreventive maintenancePerformance improvementInventory,3 Days Ago,24-11-2024,Not disclosed
Manager - Global Business Resilience,Maersk Global Service Centres India,"Mumbai, Navi Mumbai, Pune",4-7 Yrs,global operationsNetworkingISOAnalyticalAuditingLogisticsBusiness operationsAnalytics,3 Days Ago,24-11-2024,Not disclosed
Sales Manager || Stanza Living || Mumbai & Pune,Stanza Living,"Pune, Mumbai (All Areas)",4-9 Yrs,B2C SalesTarget AchievementField Sales ManagementTeam HandlingDirect SalesReal Estate SalesRevenue GenerationRental Sales,5 Days Ago,24-11-2024,10-13 Lacs PA
"LTTS Hiring Enovia Developer -bangalore,Pune",Larsen & Toubro (L&T),"Pune, Bengaluru",4-6 Yrs,ENOVIAMQLEnovia developerTCL3DexperienceJpoEnovia V6Development,12 Days Ago,24-11-2024,8-15 Lacs PA
"LTTS Hiring Data Migration Architect-Bangalore,Pune",Larsen & Toubro (L&T),"Pune, Bengaluru",6-10 Yrs,3DexperienceENOVIAData architectsDataHiringMigrationData architectureData migration,12 Days Ago,24-11-2024,10-20 Lacs PA
"LTTS Hiring Integration Architect 3DX-Bangalore,Pune",Larsen & Toubro (L&T),"Pune, Bengaluru",6-10 Yrs,3DX integration3DX Migration3DX implementationPLMArchitectENOVIAIntegration ArchitectureMigration,12 Days Ago,24-11-2024,12-20 Lacs PA
LTTS is Hiring For Solution Architect-Bangalore/Pune,Larsen & Toubro (L&T),"Pune, Bengaluru",6-10 Yrs,3DexperienceENOVIASolution ArchitectPLMArchitectureHiring,12 Days Ago,24-11-2024,Not disclosed
Civil & Structural Designer (Onshore),Brunel,Mumbai,7-13 Yrs,oilsprsmart plant 3dstructural designautocadpdmsPlant 3DCivil,1 Day Ago,24-11-2024,Not disclosed
Senior Engineer,Adani Power (APL),Mumbai,16-20 Yrs,Quality standardsComplianceProject managementResource allocationInfrastructure developmentEngineering DesignProject deliveryContinuous improvement,1 Day Ago,24-11-2024,Not disclosed
Senior Manager - Planning,Adani Power (APL),Mumbai,7-11 Yrs,Project developmentManager PlanningComplianceProject managementMentorContinuous improvementMonitoringRisk mitigation,1 Day Ago,24-11-2024,Not disclosed
Senior Manager - Budgeting & Costing,Adani Power (APL),Mumbai,6-9 Yrs,CostingFinancial reportingComplianceValue engineeringConstruction engineeringCost estimationBudgetingConstruction management,1 Day Ago,24-11-2024,Not disclosed
Sub Commander - ARFF,Adani Power (APL),Mumbai,8-9 Yrs,TrainingCompliancePumpsFire safetyFireCommandSafetySUB,1 Day Ago,24-11-2024,Not disclosed
Senior Manager Design (Fire Fighting),Sterling & Wilson,"Mumbai(Chembur West), Navi Mumbai, Mumbai (All Areas)",12-17 Yrs,Design EngineeringFire ProtectionMep DesignEpc ProjectFire FightingFireFightingProject,1 Day Ago,24-11-2024,Not disclosed
Assistant Accounts Receivable Manager,EY,Navi Mumbai,9-14 Yrs,Team HandlingGSTbillRevenueAccounts ReceivableTDSReceivableTAX,1 Day Ago,24-11-2024,7-12 Lacs PA
Procurement Buyer (Project Procurement),EY,Navi Mumbai,5-10 Yrs,BiddingInco TermsPaymentsRFQTenderingRFIProjectProject procurement,1 Day Ago,24-11-2024,8-17 Lacs PA
Quantity Surveyor Manager - Reliance Industries Ltd - Navi Mumbai,Reliance Industries (RIL),Navi Mumbai,5-10 Yrs,QSQuantity SurveyingBilling EngineeringQuantity EstimationEngineeringQuantityBillingManagement,1 Day Ago,24-11-2024,Not disclosed
Business Development Engineer,Saint Gobain,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",2-7 Yrs,Project Salessales specificationBusiness developmentProjectSalesSpecificationsDevelopment,1 Day Ago,24-11-2024,Not disclosed
Piping Design Engineer,Tecnimont,"Mumbai, Navi Mumbai",3-7 Yrs,calculationmodelinganalyticalsoftwareastmautocad3doil,2 Days Ago,24-11-2024,5.5-9 Lacs PA
Finishing Engineer (KCA),Lodha Group,"Alibag, Thane, Mumbai (All Areas)",3-8 Yrs,Interior FinishingFinishingBunglowsInteriorsClub house,2 Days Ago,24-11-2024,2.75-7.75 Lacs PA
Legal Manager (Hybrid -Navi Mumbai Location),Dallas Ecom Infotech,Hybrid - Navi Mumbai,4-8 Yrs,Legal DocumentationLegal IssuesFranchisee ManagementLegal ComplianceFranchise OperationsComplianceLegalLegal management,2 Days Ago,24-11-2024,2-4.75 Lacs PA
Engineer- Piping,Tecnimont,Navi Mumbai,3-8 Yrs,plot planequipment modelingisometricsasmeengineeringautocadpdmscommissioning,2 Days Ago,24-11-2024,5.5-9 Lacs PA
