roles,companies,locations,experience,skills,Dates,PresentDate,salary
Mould Designer,DC Consultants,Navi Mumbai,5-10 Yrs,Computer scienceObject oriented designArchitectureAnalyticalVice President EngineeringSoftware development life cycleCorporate affairsData structures,30+ Days Ago,23-11-2024,Not disclosed
Manager Finance - Real Estate Developer,DC Consultants,Navi Mumbai,6-9 Yrs,ConstructionProject financeLegal complianceProduction ExecutiveManager TechnologyCredit controlCorporate financeAccounts Executive,30+ Days Ago,23-11-2024,Not disclosed
IOS Devloper - Digivation,DC Consultants,Mumbai,2-7 Yrs,BackendPPCBusiness networkingCloudPHPSEMHTMLMobile applications,30+ Days Ago,23-11-2024,Not disclosed
HR Executive,DC Consultants,Mumbai,5-9 Yrs,HR ExecutiveData managementTally ERPESICHR policiesHRMedical insuranceMS Office,30+ Days Ago,23-11-2024,Not disclosed
Freelancer Game Tester,DC Consultants,"Mumbai, Navi Mumbai",1-5 Yrs,HTML;Javascriptspring bootSoftware QAMySQLWordpressSocial networkingQA testingGame testing,30+ Days Ago,23-11-2024,Not disclosed
Clinic administrator,DC Consultants,Navi Mumbai,2-7 Yrs,Production ExecutiveVertical HeadCorporate affairsChannel partner managementManager TechnologyMarketing operationsChannel managementManagement,30+ Days Ago,23-11-2024,Not disclosed
Chief Marketing Officer,DC Consultants,Navi Mumbai,15-18 Yrs,Integrated marketingTeam managementBrand strategyWeb developmentAtlCorporate affairsManager TechnologyBrand communication,30+ Days Ago,23-11-2024,Not disclosed
Sales Manager - Real Estate Developers,DC Consultants,Mumbai,4-9 Yrs,Project salesInterpersonal skillsSalesSales operationsData managementAnalyticalMarket researchCustomer service,30+ Days Ago,23-11-2024,Not disclosed
Sales Executive - Real Estate Developer,DC Consultants,Mumbai,5-9 Yrs,Interpersonal skillsConstructionMortgageFinanceLegalManager TechnologySales ExecutiveMarketing,30+ Days Ago,23-11-2024,Not disclosed
Sales & Marketing Manager,DC Consultants,Mumbai,5-8 Yrs,Marketing ManagerPPCPenetrationSalesResinCustomer supportManager Sales & MarketingDigital marketing,30+ Days Ago,23-11-2024,Not disclosed
Research & Development Executive,DC Consultants,Mumbai,3-5 Yrs,TallyLoansCooEquityFinancial operationsSEMSEOFinancial modelling,30+ Days Ago,23-11-2024,Not disclosed
Manager / Asst . Manager Sales,DC Consultants,Mumbai,8-13 Yrs,Front endPerformance managementPackagingSMSCustomer supportSchedulingForecastingOperations,30+ Days Ago,23-11-2024,Not disclosed
Investment Manager,DC Consultants,Mumbai,5-7 Yrs,Client meetingLead generationAfter sales serviceWealth managementFinanceSEMSEOPortfolio management,30+ Days Ago,23-11-2024,Not disclosed
Asst . Manager Home loan,DC Consultants,Mumbai,5-10 Yrs,LoansProject financeNBFCMISFinanceBack officeCorporate financeFinancial Analyst,30+ Days Ago,23-11-2024,Not disclosed
Asst . Manager Customer Support,DC Consultants,"Mumbai, Navi Mumbai",2-5 Yrs,Executive TechnologyRoot cause analysisProduction ExecutiveSATInfrastructureSEMAssistant Manager Customer SupportCustomer service,30+ Days Ago,23-11-2024,Not disclosed
Asst . Manager Cooperate Sales,DC Consultants,Navi Mumbai,1-4 Yrs,NATProduct trainingPPCAssistant Manager Corporate SalesLeased lineCustomer supportB2B SalesDigital marketing,30+ Days Ago,23-11-2024,Not disclosed
Asst . Manager Business Development,DC Consultants,Mumbai,10-12 Yrs,Cold callingOutboundConstructionExecutiveSalesArchitectureTelesalesClient coordination,30+ Days Ago,23-11-2024,Not disclosed
Asst . Manager / Manager Maintenance,DC Consultants,Mumbai,10-12 Yrs,Assistant ManagerFabricationPlant operationsProcess optimizationQuality Assurance AuditorISOPharmaContinuous improvement,30+ Days Ago,23-11-2024,Not disclosed
Asst . Manager / Manager - Tele Sales,DC Consultants,"Mumbai, Navi Mumbai",3-7 Yrs,Executive TechnologyRetailData managementPerformance managementTelesalesProduction ExecutiveCorporate affairsManager Technology,30+ Days Ago,23-11-2024,Not disclosed
Assistant Sales Manager / Sales Manager,DC Consultants,Mumbai,1-6 Yrs,Manager Client ServicingSurgicalNetworkingRetail distributionBrand marketingCustomer supportAnalyticsOffice Staff,30+ Days Ago,23-11-2024,Not disclosed
Assistant Marketing Manager,DC Consultants,Mumbai,10-12 Yrs,PPCOnline marketingSocial mediaMISAtlSEMSEODigital marketing,30+ Days Ago,23-11-2024,Not disclosed
Assistant Manager Strategy,DC Consultants,Navi Mumbai,1-6 Yrs,PPCChange managementBusiness analysisBusiness researchStrategy ManagerAnalyticalSEMBusiness strategy,30+ Days Ago,23-11-2024,Not disclosed
Assistant Manager - Retail Sales,DC Consultants,Mumbai,3-8 Yrs,TallyVehicle managementBrcPenetrationSalesPerformance managementRetail Sales ManagerExport import,30+ Days Ago,23-11-2024,Not disclosed
Admin Executive cum EA,DC Consultants,Mumbai,3-5 Yrs,Analytical skillsConsumer insightsMarket researchSEMCustomer supportResearchSEOGaming,30+ Days Ago,23-11-2024,Not disclosed
Accounts Executive,DC Consultants,Mumbai,1-6 Yrs,TallyManager Client ServicingBilling ExecutiveMISInvoice processingFinanceBillingCorporate,30+ Days Ago,23-11-2024,Not disclosed
Accountant,DC Consultants,Mumbai,5-8 Yrs,TDSFront endMISProject managementFinanceBack officeMS OfficeReal time analysis,30+ Days Ago,23-11-2024,Not disclosed
Accountant,DC Consultants,Mumbai,5-10 Yrs,Manager Client ServicingTDSBank reconciliationProduction ExecutiveManagementTally softwareMS OfficeAdministration work,30+ Days Ago,23-11-2024,Not disclosed
Accountant,DC Consultants,"Mumbai, Navi Mumbai",1-4 Yrs,TallyPPCProduction ExecutiveCustomer supportClient relationshipDigital marketingPWDAccounts handling,30+ Days Ago,23-11-2024,Not disclosed
Accountant,DC Consultants,Mumbai,6-11 Yrs,Executive TechnologyTallyTechnology HeadExcelExecutiveProduction ExecutiveIT HeadBilling,30+ Days Ago,23-11-2024,Not disclosed
Accountant,DC Consultants,Mumbai,4-7 Yrs,TallyAccessoriesProduction ExecutiveHome furnishingCustomer supportSEMTaxationStructural engineering,30+ Days Ago,23-11-2024,Not disclosed
Accountant,DC Consultants,Mumbai,2-7 Yrs,Executive TechnologyTallyAccessoriesTechnology HeadExcelProduction ExecutiveIT HeadSEM,30+ Days Ago,23-11-2024,Not disclosed
Accountant,DC Consultants,"Mumbai, Navi Mumbai",10-12 Yrs,TallyManager Client ServicingConstructionArchitectureProduction ExecutiveConsumer insightsClient relationshipAccounts Executive,30+ Days Ago,23-11-2024,Not disclosed
Account Executive,DC Consultants,Mumbai,1-6 Yrs,RetailSalesBrand marketingCustomer supportFMCGManagementMarketing managementAccounting,30+ Days Ago,23-11-2024,Not disclosed
Account Assistant,DC Consultants,Mumbai,15-18 Yrs,Executive TechnologyTelecomAccessoriesSalesProduction ExecutiveProduct portfolioMarket intelligenceChannel management,30+ Days Ago,23-11-2024,Not disclosed
UX Designer,DC Consultants,Mumbai,3-8 Yrs,GraphicsUser interface designingIllustratorCorporate affairsManager TechnologyPHPHTMLWeb designing,30+ Days Ago,23-11-2024,Not disclosed
Senior Marketing Manager,DC Consultants,Mumbai,8-12 Yrs,Team managementPharmaCustomer supportSEMSEODigital marketingForecastingPetrochemical,30+ Days Ago,23-11-2024,Not disclosed
Placement Coordinator,DC Consultants,Mumbai,2-5 Yrs,TrainingTelecomInterpersonal skillsAutomobilePharmaCorporateFMCGinterview scheduling,30+ Days Ago,23-11-2024,Not disclosed
PHP Developer,DC Consultants,Mumbai,4-6 Yrs,GITBusiness networkingMySQLWordpressCloudBankingJavascriptHTML,30+ Days Ago,23-11-2024,Not disclosed
Online Business Developer,DC Consultants,"Mumbai, Navi Mumbai",6-11 Yrs,Content managementBiddingNetworkingOnline marketingMarket researchCustomer supportSEMSEO,30+ Days Ago,23-11-2024,Not disclosed
Office Assistant,DC Consultants,Mumbai,2-5 Yrs,ProductionBack officePHPSEMHTMLMS WordProcess instrumentationOffice Administrator,30+ Days Ago,23-11-2024,Not disclosed
MIS Executive,DC Consultants,Mumbai,6-11 Yrs,RetailExcelData managementMISRelationship buildingManager TechnologyCorporate affairsSEM,30+ Days Ago,23-11-2024,Not disclosed
Microbiologist - ALF Farms,DC Consultants,Mumbai,1-3 Yrs,Master ChefOperations managementTechnology HeadQuality inspectionIT HeadCredit controlManager Quality ControlMechanical engineering,30+ Days Ago,23-11-2024,Not disclosed
Medical Officer,DC Consultants,Mumbai,1-5 Yrs,Sales operationsCustomer satisfactionBrand marketingCustomer supportGIS AnalystManagementInvestmentGI,30+ Days Ago,23-11-2024,Not disclosed
Marketing Manager,DC Consultants,Mumbai,4-5 Yrs,Collateral managementData managementCorporate affairsConsumer insightsSEMCustomer supportClient relationshipSEO,30+ Days Ago,23-11-2024,Not disclosed
Marketing Lead,DC Consultants,Navi Mumbai,10-12 Yrs,Campaign managementconsumer marketingAtlCorporate affairsMarketing ProfessionalSEMCustomer supportMarketing Lead,30+ Days Ago,23-11-2024,Not disclosed
Marketing Executive,DC Consultants,Mumbai,3-5 Yrs,HDPEProduct qualityMarket mappingPPCCustomer supportSEMSEODigital marketing,30+ Days Ago,23-11-2024,Not disclosed
Manager Technical,DC Consultants,Mumbai,2-5 Yrs,Computer sciencePPCBackendCodingWordpressCMSPHPHTML,30+ Days Ago,23-11-2024,Not disclosed
Manager Sales,DC Consultants,Navi Mumbai,1-6 Yrs,Cold callingSalesManager CRMSales operationsCustomer satisfactionMISBrand marketingBack office,30+ Days Ago,23-11-2024,Not disclosed
Manager International Sales,DC Consultants,"Mumbai, Navi Mumbai",2-10 Yrs,RetailSales operationsMISBrand marketingInternational salesBack officeCorporate affairsManager Technology,30+ Days Ago,23-11-2024,Not disclosed
Manager Finance and Accounts ( CA ),DC Consultants,"Mumbai, Navi Mumbai",7-8 Yrs,Estate managementTDSFinancial reportingIncome taxProduction ExecutiveBudgetingManagementAccounts Executive,30+ Days Ago,23-11-2024,Not disclosed
Manager Commercial,DC Consultants,Mumbai,6-8 Yrs,HospitalityCostingAnalyticalService industryBack officeHealthcareFinancial servicesSoftware services,30+ Days Ago,23-11-2024,Not disclosed
Manager Accounts and Finance,DC Consultants,Mumbai,10-12 Yrs,Investment productsWork managementWealth managementMutual fundsBranch accountingPHPHTMLTaxation,30+ Days Ago,23-11-2024,Not disclosed
Manager - Import Purchase,DC Consultants,Mumbai,8-10 Yrs,ProcurementGlobal marketingimport purchaseCostingStock managementPharmaProduct portfolioCosmetics,30+ Days Ago,23-11-2024,Not disclosed
Leader - Home Delivery,DC Consultants,Mumbai,3-8 Yrs,TrainingExecutive TechnologyProduction ExecutiveCustomer handlingPHPHTMLFMCGSales promotion,30+ Days Ago,23-11-2024,Not disclosed
Jr . Executive Trainer,DC Consultants,"Mumbai, Mumbai Suburban",5-9 Yrs,TrainingProduct trainingPPCJunior ExecutiveSalesProduction ExecutiveCustomer supportAccounts Executive,30+ Days Ago,23-11-2024,Not disclosed
Jr & Sr . Sales Executive,DC Consultants,Mumbai,2-4 Yrs,Relationship managementPPCProduct promotionSalesCustomer supportSales ExecutiveProcess instrumentationDigital marketing,30+ Days Ago,23-11-2024,Not disclosed
iOS Developer,DC Consultants,Mumbai,2-5 Yrs,NetworkingCodingXMLWordpressAgilePHPData structuresHTML,30+ Days Ago,23-11-2024,Not disclosed
HR Manager,DC Consultants,Mumbai,12-15 Yrs,HR processesHR operationsAnalyticalPerformance appraisalExecutive CoordinatorHRHR analyticsHuman resource management,30+ Days Ago,23-11-2024,Not disclosed
Graphic Designer,DC Consultants,Mumbai,2-4 Yrs,GISGraphic designingPPCUser interface designingIllustratorWeb designingProcess instrumentationDigital marketing,30+ Days Ago,23-11-2024,Not disclosed
Graphic Designer,DC Consultants,"Mumbai, Navi Mumbai",2-7 Yrs,PPCContent managementProduct engineeringjQueryIllustratorJavascriptCorel DrawHTML,30+ Days Ago,23-11-2024,Not disclosed
Graphic designer,DC Consultants,Mumbai,3-8 Yrs,PPCIllustratorSocial networkingMayaSEMSEOPhotoshopDigital marketing,30+ Days Ago,23-11-2024,Not disclosed
Game Developer,DC Consultants,Mumbai,4-9 Yrs,GISPPCbackbone.jsSocial networkingJavascriptPHPHTMLDigital marketing,30+ Days Ago,23-11-2024,Not disclosed
Full stack developer,DC Consultants,Mumbai,4-6 Yrs,C++Core JavajQueryTechnical writingMySQLWordpressSEMSEO,30+ Days Ago,23-11-2024,Not disclosed
FrontOffice Executive ( Receptionist ),DC Consultants,Mumbai,6-11 Yrs,Executive TechnologyAccessoriesAdministrationFront Office ExecutiveProduction ExecutiveBillingSEMSEO,30+ Days Ago,23-11-2024,Not disclosed
Front End Developer,DC Consultants,"Mumbai, Navi Mumbai",5-10 Yrs,RetailHTML;Javascriptbackbone.jsjQueryFront endCorporate affairsManager Technologyangularjs,30+ Days Ago,23-11-2024,Not disclosed
Framework Developer,DC Consultants,"Mumbai, Navi Mumbai",2-7 Yrs,jQueryXMLMySQLWordpressJavascriptPHPHTMLOracle,30+ Days Ago,23-11-2024,Not disclosed
Executive Sales Coordinator,DC Consultants,Mumbai,6-11 Yrs,BPOExecutive Sales CoordinatorSalesCustomer service orientationEmail marketingFormulationAfter sales supportITES,30+ Days Ago,23-11-2024,Not disclosed
Executive Operations and Purchase,DC Consultants,Navi Mumbai,1-4 Yrs,Executive TechnologyPurchase ExecutiveTechnology HeadProduction ExecutiveGMSCDirectorOperation ExecutiveSEM,30+ Days Ago,23-11-2024,Not disclosed
Executive Back Office and Accounts,DC Consultants,Navi Mumbai,1-6 Yrs,Back Office ExecutiveTallyMISCustomer supportSEMSEOCateringWholesale,30+ Days Ago,23-11-2024,Not disclosed
Executive / Sr Executive Sourcing,DC Consultants,Mumbai,2-7 Yrs,Cold callingExecutiveSalesCommercial ExecutiveSourcing ExecutiveChannel partner managementCustomer supportClient relationship,30+ Days Ago,23-11-2024,Not disclosed
Executive - Retail Sales,DC Consultants,Mumbai,3-8 Yrs,ExcelExecutiveShowroom salesBrand marketingCustomer handlingCash handlingCustomer supportRetail Sales Executive,30+ Days Ago,23-11-2024,Not disclosed
Executive - Client Support,DC Consultants,Navi Mumbai,6-11 Yrs,PPCB2BSocial networkingCustomer supportB2B SalesDigital marketingGamingAnalytics,30+ Days Ago,23-11-2024,Not disclosed
Executive - Accounts,DC Consultants,Navi Mumbai,4-8 Yrs,ProcurementTallyTDSConstructionbill checkingTax invoiceReconciliationBilling,30+ Days Ago,23-11-2024,Not disclosed
Electrical Engineer,DC Consultants,Mumbai,10-12 Yrs,HR SecretaryElectrical designChemicalPharmaRelationshipFactory administrationPetrochemicalagrochemical,30+ Days Ago,23-11-2024,Not disclosed
E - plan Engineer,DC Consultants,Navi Mumbai,3-8 Yrs,Electrical drawingAccessoriesAutomationQuality standardsElectrical designSiemens PLCInstrumentationPlant layout,30+ Days Ago,23-11-2024,Not disclosed
Draughtsman,DC Consultants,"Mumbai, Navi Mumbai",3-5 Yrs,B2BAutoCADDraughtsmanField salesRoad workGIS AnalystSales engineeringCivil engineering,30+ Days Ago,23-11-2024,Not disclosed
Design Lead,DC Consultants,Navi Mumbai,10-12 Yrs,PrintingGraphic designingPDFIllustratoradobe creative suiteCorel DrawDesktop publishingPhotoshop,30+ Days Ago,23-11-2024,Not disclosed
Customer Care Executive,DC Consultants,Navi Mumbai,10-12 Yrs,Executive TechnologyTechnology HeadCustomer Care ExecutiveConstructionProduction ExecutiveIT HeadCustomer supportSEM,30+ Days Ago,23-11-2024,Not disclosed
Consultant - Legal,DC Consultants,Mumbai,5-7 Yrs,Business servicesHospitalityMISConsultingBack officeHealthcareFinancial servicesSoftware services,30+ Days Ago,23-11-2024,Not disclosed
