roles,companies,locations,experience,skills,Dates,PresentDate,salary
Department Coordinator,Times Strategic Solutions Limited,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",2-5 Yrs,Calendar ManagementtravelcoordinationManagement,4 Days Ago,24-11-2024,3.5-4 Lacs PA
Load Balancer (LB) / Web Application Firewall (WAF) Subject Matter Exp,Jio,Navi Mumbai,10-12 Yrs,Load BalancingWeb Application FirewallF5NetscalerFirewallApplicationBalanceLBS,5 Days Ago,24-11-2024,12-17 Lacs PA
Maintenance Supervisor,Cinepolis,Navi Mumbai,2-4 Yrs,HVACElectricalsMaintenance,3 Days Ago,24-11-2024,3-3.5 Lacs PA
Deputy Manager - Marketing ( Events),Oberoi Realty,Mumbai Suburban,5-8 Yrs,marketingEvents ManagementEvent Planningevent conceptualisationEvent OperationsEvent MarketingConceptualizationEvents,6 Days Ago,24-11-2024,5-8.5 Lacs PA
IT Supervisor,Cinepolis,Navi Mumbai,2-4 Yrs,Desktop SupportServer SupportHardware NetworkingSoftware InstallationNetwork SupportDesktopServHardware,3 Days Ago,24-11-2024,3-3.5 Lacs PA
Front-End Engineer,Nouveaucomm Networks Research Centre Private Limit...,Mumbai,1-3 Yrs,front endcssweb applicationuser interface designingui developmentbootstrapajaxscalability,4 Days Ago,24-11-2024,Not disclosed
Elite Sales Ambassador For Luxury Brand (Pan India),2coms,"Mumbai, Hyderabad, Bengaluru",1-6 Yrs,visual merchandisingmanagement skillsretail operationsbrandingcustomer serviceinterpersonal skillsretail salesapparel,4 Days Ago,24-11-2024,Not disclosed
Business Head Sales And Marketing,Live Times / Two Star Media Pvt. Ltd.,"Noida, Mumbai, Bengaluru",15-20 Yrs,Team LeadershipRevenue GenerationOperational ExcellenceAdvertising SalesResource OptimizationBudget ManagementDigital SalesBusiness Development,4 Days Ago,24-11-2024,12-20 Lacs PA
Ran Lead,Airtel,Pune,10-15 Yrs,Nokia BSCBSS EngineerBss EngineeringRAN SpecialistEngineeringRANBss,1 Day Ago,24-11-2024,10-14 Lacs PA
Accounting Expert,Amdocs,Pune,4-6 Yrs,Health insuranceSAP ERPUS GAAPFinancial reportingAccountingFinanceConsultingIFRS,1 Day Ago,24-11-2024,Not disclosed
Sponsorship Sales,Times Strategic Solutions Limited,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",6-11 Yrs,salesMedia Salesconcept salesConcept SellingsponsorshipExhibition SalesSponsorship SalesEvent Sales,4 Days Ago,24-11-2024,7-17 Lacs PA
Finance and cost accounting principal consultant,U2o3 Infotech,"Hyderabad, Pune, Bengaluru",10-12 Yrs,ProcurementFTPFixed assetsConsultingCash managementOracleResource managementTroubleshooting,30+ Days Ago,24-11-2024,Not disclosed
PLM and procurement principal consultant,U2o3 Infotech,"Hyderabad, Pune, Bengaluru",8-12 Yrs,PLMProcurementSupply chainData migrationFTPDebuggingConsultingOracle,30+ Days Ago,24-11-2024,Not disclosed
Deputy Manager / Assistant Lead - Pega,_VOIS,Pune,5-9 Yrs,PegaIT DevelopmentTeam leadingsolution designProject deliveryCRMLeadershipProject,1 Day Ago,24-11-2024,Not disclosed
Mainframe Capacity Planner,Amdocs,Pune,3-6 Yrs,TSOJCLDb2CicsAS400IT operationsTechnical supportIMS,1 Day Ago,24-11-2024,Not disclosed
Order management and procurement principal consultant,U2o3 Infotech,"Hyderabad, Pune, Bengaluru",10-12 Yrs,Order managementProcurementBusiness processData migrationFTPTest scriptsDebuggingConsulting,30+ Days Ago,24-11-2024,Not disclosed
Cloud finance principal consultant,U2o3 Infotech,"Hyderabad, Pune, Bengaluru",6-8 Yrs,ProcurementSolution architectureData migrationFTPDebuggingConsultingCash managementOracle,30+ Days Ago,24-11-2024,Not disclosed
Copywriter,Flatworld Solutions (FWS),Bengaluru,2-5 Yrs,ConceptualizationcopywriterAd copyAdvertising Agencyweb copyIdeationAd AgencyWriting,6 Days Ago,24-11-2024,5-7 Lacs PA
VFX Editor,The Walt Disney Company,Mumbai,2-5 Yrs,Post productionPrintingProduction SupervisorLinuxCodingAnimation SupervisorDatabaseVFX,5 Days Ago,24-11-2024,Not disclosed
Virtual Assistant,Party Star,Mumbai,0-1 Yrs,Social MediaOffice AssistanceSocial MarketingReceptionist ActivitiesSocial Media MarketingMediaAssistanceMedia marketing,6 Days Ago,24-11-2024,"96,000-1.8 Lacs PA"
AGM - Area Sales | Bangalore,Vodafone Idea,Bengaluru,7-12 Yrs,DistributionTeam HandlingSalesTeamArea salesHandlingAgm,8 Days Ago,24-11-2024,15-18 Lacs PA
Customer Service Professional,Fortinet Technologies,Bengaluru,3-4 Yrs,Product qualityCustomer Service ProfessionalNetworkingCustomer satisfactionFinanceNetwork securityCustomer serviceContinuous improvement,3 Days Ago,24-11-2024,Not disclosed
System Engineer,The Walt Disney Company,Mumbai,2-5 Yrs,SANAutomationLinuxLDAPActive directoryDNSWindowsCustomer service,5 Days Ago,24-11-2024,Not disclosed
Delegate Sales / Acquisition,Times Strategic Solutions Limited,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",2-5 Yrs,revenuesalesdelegateacquisitionDelegate SalesDelegation,5 Days Ago,24-11-2024,3-6.5 Lacs PA
Senior Site Reliability Engineer,Truecaller,Bengaluru,2-5 Yrs,AutomationLinuxCodingConfiguration managementMySQLAgileApplication developmentApache,3 Days Ago,24-11-2024,Not disclosed
Software Engineer,Nokia,Bengaluru,4-6 Yrs,operating systemsBIOSFPGAembedded system developmentuBootBMCPCIe controllerCPLD firmware,7 Days Ago,24-11-2024,Not disclosed
Senior Software Engineer,Nokia,Bengaluru,4-6 Yrs,Embedded SoftwareC++CBIOSFPGAembedded system developmentLinux kerneluBoot,8 Days Ago,24-11-2024,Not disclosed
Senior Manager - Central Strategy & Operations,Inmobi,Bengaluru,5-10 Yrs,Analytical skillsOperational excellenceManagement consultingBusiness planningBusiness managementGrowth strategyInvestment bankingStrategy development,10 Days Ago,24-11-2024,Not disclosed
Lead Developer,Jio,Bengaluru,10-15 Yrs,GolangMySQLKafkaHTTPMongoDBKibanaRedisPrometheus,8 Days Ago,24-11-2024,Not disclosed
Software engineer,U2o3 Infotech,Bengaluru,2-7 Yrs,IISSOALDAPData modelingXMLConfiguration managementWeb developmentHTML,11 Days Ago,24-11-2024,Not disclosed
Tech Junior,DNEG,Mumbai,1-3 Yrs,LinuxHoudiniOSXMayaTechnology DepartmentWindowsGoogle Work SpaceGoogle,5 Days Ago,24-11-2024,Not disclosed
Deputy Manager - Delegate Conference Sales,Events & Exhibition,Mumbai,4-9 Yrs,Conference Delegate SalesDelegate Salessales managementclient relationship managementevent managementtarget achievementcustomer servicesales strategy,5 Days Ago,24-11-2024,Not disclosed
Senior Software Engineer,Jio,Bengaluru(Richmond Road),5-8 Yrs,C++SIPIMSLinuxVolteIPCSoftwareSenior,8 Days Ago,24-11-2024,Not disclosed
Sponsorship Sales Manager,Events & Exhibition,Mumbai,8-10 Yrs,Sales managementSponsorship Sales ManagerEvents SponsorshipB2B Publicationssponsorship revenueManagementEventsSponsorship,5 Days Ago,24-11-2024,Not disclosed
eSW CI engineer,Nokia,Bengaluru,6-8 Yrs,CIJenkinsSW developmentDevOpsC++DockerGerritGitOps,9 Days Ago,24-11-2024,Not disclosed
SAP HR ABAP Consultant,U2o3 Infotech,Bengaluru,3-8 Yrs,IDOCSAdobe FormsSAPSAP HRModule pool programmingHCMTechnical designManagement,11 Days Ago,24-11-2024,Not disclosed
GPU Functional Verification Staff Engineer,Qualcomm,Bengaluru,8-12 Yrs,Hardware EngineeringVLSIElectronicsPerlPython scriptsElectricalMicroelectronicsGPS,10 Days Ago,24-11-2024,Not disclosed
Advisor Voice (RCC) ( 81361521 ),Jio,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-4 Yrs,BPOOutboundRelationship buildingManagementVoiceBuildingRCCRelationship,3 Days Ago,24-11-2024,Not disclosed
JC Digital Repair Specialist ( 81304573 ),Jio,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-4 Yrs,Partner managementTrainingInspectionTroubleshootingCRMManagementRepairDigital,3 Days Ago,24-11-2024,Not disclosed
Airfiber Freelancer Technician ( 81266051 ),Jio,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,ManagementTroubleshootingFreelancing,3 Days Ago,24-11-2024,Not disclosed
JC oDSS - Part time ( 81273189 ),Jio,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,OutboundQuery resolutionRoute planningManagementCustomer interactionPartQueryResolution,3 Days Ago,24-11-2024,Not disclosed
Jio Certified Freelancer Technician,Jio,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,ncvtrepairelectronicsproductionpreventive maintenancemaintenance engineeringelectrical engineeringplant operations,2 Days Ago,24-11-2024,Not disclosed
Jio Certified Freelancer Technician,Jio,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,ManagementTroubleshootingCertifiedFreelancing,3 Days Ago,24-11-2024,Not disclosed
Jio Customer Associate - Freelancer JP,Jio,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-1 Yrs,BasicUsageSalesCustomer handlingCustomer AssociateCustomer experienceHandlingFreelancing,3 Days Ago,24-11-2024,Not disclosed
Jio Point Sales Specialist,Jio,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-4 Yrs,Direct salesBasicCash managementCustomer experienceManagementMerchandisingRetail outletsCash,3 Days Ago,24-11-2024,Not disclosed
Jio Point Sales Specialist,Jio,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-4 Yrs,Direct salesCash managementCustomer experienceManagementMerchandisingRetail outletsCashSales,2 Days Ago,24-11-2024,Not disclosed
Vistaar oDSS Professional,Jio,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-6 Yrs,MNP acquisitioncustomer servicekiosksKioskAcquisitionMNP,2 Days Ago,24-11-2024,Not disclosed
Vistaar oDSS ( 80800680 ),Jio,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-6 Yrs,NetworkingSMB,3 Days Ago,24-11-2024,Not disclosed
Vistaar oDSS- Professional,Jio,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-6 Yrs,UsageNetworkingSMB,3 Days Ago,24-11-2024,Not disclosed
Jio Home Service Intern,Jio,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-1 Yrs,Material managementSplicingInternCustomer serviceManagementMaterials,2 Days Ago,24-11-2024,Not disclosed
Specialist Technical Support,Nokia,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-6 Yrs,Analytical skillsNetwork design3GLinuxCloudIP networkingCustomer serviceTroubleshooting,30+ Days Ago,24-11-2024,Not disclosed
Modeling - Junior Artist,XENTRIX,Bengaluru,0-2 Yrs,3DUsageTranslationWeb technologiesIllustrationArt DirectorComputer graphicsMaya,26 Days Ago,24-11-2024,Not disclosed
B2B Sales Executive Field sales (Mangalore & Udupi),Airtel,"Mangaluru, Udupi",2-5 Yrs,Field SalesInsurance SalesB2B SalesTelecom SalesFMCG SalesSalesInsuranceField,5 Days Ago,24-11-2024,2-4.25 Lacs PA
Territory Sales Manager - DTH (Female (Bangalore & Mysore),Airtel,"Mysuru, Bengaluru",2-7 Yrs,Sales And MarketingmarketingPartnership Managementbusiness managementRelationship ManagementField SalesDirect SalesDistributor Sales,10 Days Ago,24-11-2024,2-6 Lacs PA
Retail Store Executive - Durga Pujo Special Hiring - West Bengal,2coms,Kolkata,0-5 Yrs,pharma sellingarea sales managementpharma marketingstockingretail operationsmrstoreschannel sales,1 Day Ago,24-11-2024,Not disclosed
"Senior Data Engineer, Data and Analytics",M&amp;C Saatchi Group,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Employee trainingDigital mediaHealth insuranceAgileData qualityJIRAAdvertisingAnalytics,3 Days Ago,24-11-2024,Not disclosed
Executive Human Resource Generalist,Wonderla Holidays,Bengaluru,2-5 Yrs,HR Generalist ActivitiesEmployee EngagementEngagementHrsdGeneralist ActivitiesResource,12 Days Ago,24-11-2024,Not disclosed
Jio Digital Sales Specialist JP GT ( 81347292 ),Jio,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,Customer acquisitionSales planningNetworkingDigital salesCustomer retentionRetentionSalesDigital,3 Days Ago,24-11-2024,Not disclosed
Jio Certified Freelancer Technician,Jio,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,ManagementTroubleshootingCertifiedFreelancing,3 Days Ago,24-11-2024,Not disclosed
Jio Certified Freelancer Technician,Jio,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,ManagementTroubleshootingFreelancingCertified,3 Days Ago,24-11-2024,Not disclosed
Jio Point Sales Specialist ( 81307976 ),Jio,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-4 Yrs,Direct salesCash managementCustomer experienceManagementMerchandisingRetail outletsDirectSales,3 Days Ago,24-11-2024,Not disclosed
Jio Point Sales Specialist ( 81308319 ),Jio,"Mumbai, Pune",0-4 Yrs,Direct salesCash managementCustomer experienceManagementMerchandisingRetail outletsDirectSales,3 Days Ago,24-11-2024,Not disclosed
Content Writer,Mas Vee Digital,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,Content managementPublishingManagement systemsSocial mediaBrand awarenessContent writingResearchSEO,30+ Days Ago,24-11-2024,Not disclosed
HR Recruiter,Mas Vee Digital,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,TrainingBusiness administrationAdministrationOfficer AdministratorInterpersonal skillsPerformance managementTime managementHR,30+ Days Ago,24-11-2024,Not disclosed
Finance Supervisor,Cinepolis,"Pune, Gurugram, Delhi / NCR",1-2 Yrs,Finance And AccountsPetty Cash ManagementLIFOFIFOPetty cashCashCash managementManagement,3 Days Ago,24-11-2024,Not disclosed
Cluster Engineering Lead,Airtel,Pune,5-9 Yrs,network infrastructureanalyticalbusiness requirementsoptimization techniqueselectrical engineeringperformance engineeringengineeringperformance optimization,2 Days Ago,24-11-2024,Not disclosed
Sales Representative,Anytime Fitness (AF),"Mumbai, New Delhi, Pune",0-2 Yrs,Sales RepresentativeUPSPresalesManagementSales,30+ Days Ago,24-11-2024,Not disclosed
Business Development Executives,Expogroup,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",0-2 Yrs,Copy writingInternet marketingBusiness Development ExecutiveInternetWritingMarketingBusiness developmentDevelopment,30+ Days Ago,24-11-2024,Not disclosed
Graphic Designer,Mas Vee Digital,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,GraphicsGraphic designingSoftware designUsageIllustratorPackagingCreative DirectorPhotoshop,30+ Days Ago,24-11-2024,Not disclosed
Trainee Instructional Designer,Mobile Tutor,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",0-1 Yrs,GraphicsTutorE-learningInstructional designResearchTestingSoftware testingTutoring,30+ Days Ago,24-11-2024,Not disclosed
Social Media and Community Growth Executive,Pluc Network,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,ExecutiveEmail marketingProject managementSocial mediaMarketing campaignsBrand awarenessManagementMarketing communication,30+ Days Ago,24-11-2024,Not disclosed
Business Development Manager,Finesse Interactive,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-4 Yrs,Cold callingTrainingLead generationInterpersonal skillsDirect marketingNetworkingSocial mediaWeb application,30+ Days Ago,24-11-2024,Not disclosed
Information Security Specialist,Amdocs,Pune,2-3 Yrs,TrainingCismCisaInformation securityISO 27001Application securityRisk managementSDLC,2 Days Ago,24-11-2024,Not disclosed
