roles,companies,locations,experience,skills,Dates,PresentDate,salary
Godrej MHE- Marketing Executive,Godrej & Boyce (G&B),Mumbai,5-10 Yrs,Industrial EquipmentKey AccountsMheIndustrial MarketingMarketingConstruction EquipmentMaterial Handling EquipmentsHeavy Equipment,2 Days Ago,24-11-2024,Not disclosed
CA Trainee - Indirect TAX / Treasury,CEAT,Mumbai(Worli),0-2 Yrs,CA traineeCADirect TaxtreasuryICWAindirect taxDirectTaxation,6 Days Ago,24-11-2024,3.5-3.75 Lacs PA
Hiring For Sr General Manager - Chief Accountant,Schneider Electric,"Hybrid - Gurugram, Bengaluru",12-20 Yrs,Financial StatementsIFRSInd AsProfit And Loss AccountBalance SheetBalanceManagementSR,4 Days Ago,24-11-2024,Not disclosed
Principal Architect Opening @ Bangalore(Software Product Development),CareerNet Consulting,Hybrid - Bengaluru,19-23 Yrs,Product DevelopmentSoftware DevelopmentSoftware Architecture DesignMicroservicesKubernetesPrincipal EngineerPrincipal ArchitectLead Architect,5 Days Ago,24-11-2024,Not disclosed
"Software, Technical Product Owner",Schneider Electric,Bengaluru,8-13 Yrs,HibernateInterpersonal skillsAnalyticalAgileTelecommunicationSoftware product developmentHTMLScrum,3 Days Ago,24-11-2024,Not disclosed
Product Owner - PDU,Schneider Electric,Bengaluru,8-14 Yrs,Product managementSupply chainPLMTradeProject developmentMatrixPower distributionManagement,3 Days Ago,24-11-2024,Not disclosed
Sr. Executive Purchase,Avery Dennison,Bengaluru,4-5 Yrs,Supply chainExcelProcess improvementAnalyticalNew vendor developmentStrategic sourcingMarket researchOutsourcing,3 Days Ago,24-11-2024,Not disclosed
Electrical Engineer,Schneider Electric,Bengaluru,2-5 Yrs,Electrical engineeringBasicAutomationInterpersonal skillsSwitchgearAutoCADMarket intelligenceManager Technology,3 Days Ago,24-11-2024,Not disclosed
Principal Engineer (Hybrid) - Embedded,UTC Aerospace Systems,Bengaluru,0-5 Yrs,Embedded CC++Software designAerospaceCodingProcess improvementAvionicsEmbedded software,3 Days Ago,24-11-2024,Not disclosed
Customer Support Representative,Sandvik Coromant,Bengaluru,3-7 Yrs,AdministrationCustomer Support RepresentativeSAPAerospaceBillingCustomer supportData qualityCustomer service,3 Days Ago,24-11-2024,Not disclosed
Sr Manager Software (LabVIEW /TestStand),Schneider Electric,Bengaluru,8-12 Yrs,ProcurementC++CodingHardware designPower supplyFirmwareWindowsOracle,4 Days Ago,24-11-2024,Not disclosed
Stress Engineer - Apply Now..!!,Tech Mahindra,Hybrid - Bengaluru,7-10 Yrs,Hypermesh/HyperworksNASTRANNasgroPatranGFEM/DFEMHand calculationCalculationApplication,3 Days Ago,24-11-2024,10-18 Lacs PA
Urgent Hiring // Teller calling Associate // Bangalore,Cars24,Bengaluru,1-5 Yrs,TelecallingOutbound SalesTelesalesInbound CallsCallingOutbound CallingOutboundInbound,3 Days Ago,24-11-2024,1-2.25 Lacs PA
Divisional Manager - Digital Engineering,TVS Motor,Bengaluru,15-20 Yrs,digitalresource planninginnovationtechnical leadershipanalyticalsoftwarelanguagesengineering,4 Days Ago,24-11-2024,Not disclosed
Backend Microservices Specialist - UNIFY,Schneider Electric,Bengaluru,5-12 Yrs,Supply chainspring bootBackendWeb servicesXMLMySQLJSONtest driven development,5 Days Ago,24-11-2024,Not disclosed
Product Application Expert - Contactors,Schneider Electric,Bengaluru,5-8 Yrs,Business processapplication expertAutomationRelationship buildingMarket intelligenceManager TechnologyInstrumentationCustomer complaints,5 Days Ago,24-11-2024,Not disclosed
