roles,companies,locations,experience,skills,salary,industry,experience_cleaned,min_experience,max_experience,min_salary,max_salary,is_salary_disclosed,avg_salary,days_ago,posting_date,job_age_days,seniority_level,is_remote,is_high_salary
logistics head,Steersman Talent Acquisition,Gurugram,5-7 Yrs,Cluster OperationsLogistics OperationsSupply Chain OperationsFleet ManagementLogistics PlanningTransport OperationsWarehouse Operations3Pl,10-15 Lacs PA,Consumer Retail & Hospitality,5-7,5,7,10.0,15.0,True,12.5,5.0,2024-11-19,11.0,Mid,False,True
accountant   edible oil industry,Steersman Talent Acquisition,New Delhi,3-5 Yrs,accountantTDSAccounting OperationsFinancial AccountingTax ManagementAccount ManagementGstFinancial Management,5-6 Lacs PA,Consumer Retail & Hospitality,3-5,3,5,5.0,6.0,True,5.5,5.0,2024-11-19,11.0,Mid,False,False
accountant   edible oil industry,Steersman Talent Acquisition,Gurugram,3-5 Yrs,accountantTDSAccounting OperationsFinancial AccountingTax ManagementAccount ManagementGstFinancial Management,5-6 Lacs PA,Consumer Retail & Hospitality,3-5,3,5,5.0,6.0,True,5.5,5.0,2024-11-19,11.0,Mid,False,False
accountant   edible oil industry,Steersman Talent Acquisition,Delhi / NCR,3-5 Yrs,accountantTDSAccounting OperationsFinancial AccountingTax ManagementAccount ManagementGstFinancial Management,5-6 Lacs PA,Consumer Retail & Hospitality,3-5,3,5,5.0,6.0,True,5.5,5.0,2024-11-19,11.0,Mid,False,False
sales representatives,Eagle Seeds & Biotech Limited,Indore,5-10 Yrs,Sales RepresentativeNetworkingDistributionAgricultureManagementBusiness ExecutiveMarketSales,Not disclosed,Consumer Retail & Hospitality,5-10,5,10,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
sales representatives,Eagle Seeds & Biotech Limited,Satara,5-10 Yrs,Sales RepresentativeNetworkingDistributionAgricultureManagementBusiness ExecutiveMarketSales,Not disclosed,Consumer Retail & Hospitality,5-10,5,10,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
sales representatives,Eagle Seeds & Biotech Limited,Raipur,5-10 Yrs,Sales RepresentativeNetworkingDistributionAgricultureManagementBusiness ExecutiveMarketSales,Not disclosed,Consumer Retail & Hospitality,5-10,5,10,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
regional hr,Sapphire Foods,Hyderabad,1-4 Yrs,Payroll processingLoansStaffingPerformance appraisalHR policiesPerformance management systemHRMonitoring,Not disclosed,Consumer Retail & Hospitality,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
assistant plant breeders,Eagle Seeds & Biotech Limited,Bengaluru,7-12 Yrs,MINResearchPlant BreedingBreedingAssistancePlant,Not disclosed,Consumer Retail & Hospitality,7-12,7,12,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
retail store manager,Retail,Kochi,3-5 Yrs,store managementRetail executiveStore executivestore managerretail salesfashion consultantdepartment managercounter sales,Not disclosed,Consumer Retail & Hospitality,3-5,3,5,0.0,0.0,False,0.0,25.0,2024-10-30,31.0,Mid,False,False
