roles,companies,locations,experience,skills,salary,industry,experience_cleaned,min_experience,max_experience,min_salary,max_salary,is_salary_disclosed,avg_salary,days_ago,posting_date,job_age_days,seniority_level,is_remote,is_high_salary
jio point assistant manager,Jio,Kolkata,1-2 Yrs,Supply chainSalesCustomer handlingCash handlingCustomer experienceMerchandisingStore operationsInventory,Not disclosed,Technology,1-2,1,2,0.0,0.0,False,0.0,2.0,2024-11-22,8.0,Entry,False,False
jio point assistant manager,Jio,Mumbai,1-2 Yrs,Supply chainSalesCustomer handlingCash handlingCustomer experienceMerchandisingStore operationsInventory,Not disclosed,Technology,1-2,1,2,0.0,0.0,False,0.0,2.0,2024-11-22,8.0,Entry,False,False
jio point assistant manager,Jio,New Delhi,1-2 Yrs,Supply chainSalesCustomer handlingCash handlingCustomer experienceMerchandisingStore operationsInventory,Not disclosed,Technology,1-2,1,2,0.0,0.0,False,0.0,2.0,2024-11-22,8.0,Entry,False,False
jio point assistant manager,Jio,Hyderabad,1-2 Yrs,Supply chainSalesCustomer handlingCash handlingCustomer experienceMerchandisingStore operationsInventory,Not disclosed,Technology,1-2,1,2,0.0,0.0,False,0.0,2.0,2024-11-22,8.0,Entry,False,False
jio point assistant manager,Jio,Pune,1-2 Yrs,Supply chainSalesCustomer handlingCash handlingCustomer experienceMerchandisingStore operationsInventory,Not disclosed,Technology,1-2,1,2,0.0,0.0,False,0.0,2.0,2024-11-22,8.0,Entry,False,False
jio point assistant manager,Jio,Chennai,1-2 Yrs,Supply chainSalesCustomer handlingCash handlingCustomer experienceMerchandisingStore operationsInventory,Not disclosed,Technology,1-2,1,2,0.0,0.0,False,0.0,2.0,2024-11-22,8.0,Entry,False,False
jio point assistant manager,Jio,Bengaluru,1-2 Yrs,Supply chainSalesCustomer handlingCash handlingCustomer experienceMerchandisingStore operationsInventory,Not disclosed,Technology,1-2,1,2,0.0,0.0,False,0.0,2.0,2024-11-22,8.0,Entry,False,False
jio point assistant manager,Jio,Kolkata,1-2 Yrs,Supply chainBasicUsageSalesCustomer handlingCash handlingCustomer experienceMerchandising,Not disclosed,Technology,1-2,1,2,0.0,0.0,False,0.0,3.0,2024-11-21,9.0,Entry,False,False
jio point assistant manager,Jio,Mumbai,1-2 Yrs,Supply chainBasicUsageSalesCustomer handlingCash handlingCustomer experienceMerchandising,Not disclosed,Technology,1-2,1,2,0.0,0.0,False,0.0,3.0,2024-11-21,9.0,Entry,False,False
jio point assistant manager,Jio,New Delhi,1-2 Yrs,Supply chainBasicUsageSalesCustomer handlingCash handlingCustomer experienceMerchandising,Not disclosed,Technology,1-2,1,2,0.0,0.0,False,0.0,3.0,2024-11-21,9.0,Entry,False,False
