roles,companies,locations,experience,skills,salary,industry,experience_cleaned,min_experience,max_experience,min_salary,max_salary,is_salary_disclosed,avg_salary,days_ago,posting_date,job_age_days,seniority_level,is_remote,is_high_salary
admission counsellor required for manipal university,My Tel Recruitment Solutions,Noida,1-5 Yrs,Admission CounsellingTelesalesStudent CounselingADMISSION OFFICEREdtechBdeCredit Card SalesInsurance Sales,1-3.5 Lacs PA,Education,1-5,1,5,1.0,3.5,True,2.25,3.0,2024-11-21,9.0,Entry,False,False
admission counsellor required for manipal university,My Tel Recruitment Solutions,Ghaziabad,1-5 Yrs,Admission CounsellingTelesalesStudent CounselingADMISSION OFFICEREdtechBdeCredit Card SalesInsurance Sales,1-3.5 Lacs PA,Education,1-5,1,5,1.0,3.5,True,2.25,3.0,2024-11-21,9.0,Entry,False,False
admission counsellor required for manipal university,My Tel Recruitment Solutions,Delhi / NCR,1-5 Yrs,Admission CounsellingTelesalesStudent CounselingADMISSION OFFICEREdtechBdeCredit Card SalesInsurance Sales,1-3.5 Lacs PA,Education,1-5,1,5,1.0,3.5,True,2.25,3.0,2024-11-21,9.0,Entry,False,False
pgt physics,St. Andrews World School (A Unit Of Anant Educational Society),Ghaziabad,5-8 Yrs,teachingTrainingPhysics TeacherPhysicsPGTTeaching BiologyPGT Chemistry,Not disclosed,Education,5-8,5,8,0.0,0.0,False,0.0,18.0,2024-11-06,24.0,Mid,False,False
manager   business development,Zollege,Chandigarh,1-3 Yrs,Business developmentDraftingSalesRelationship Managementsales strategyClient acquisitionDevelopmentManagement,Not disclosed,Education,1-3,1,3,0.0,0.0,False,0.0,18.0,2024-11-06,24.0,Entry,False,False
associate professor/assistant professor/professor,Mahaveer University Meerut,Meerut,3-8 Yrs,Mahaveer University Meerut,Not disclosed,Education,3-8,3,8,0.0,0.0,False,0.0,18.0,2024-11-06,24.0,Mid,False,False
vice principal,J.K.K.Nattraja Educational Institutions,Kumarapalayam,5-10 Yrs,AdministrationComplianceAdministration StaffStrategic planningVice PrincipalSupport servicesM&APolicy formulation,Not disclosed,Education,5-10,5,10,0.0,0.0,False,0.0,18.0,2024-11-06,24.0,Mid,False,False
skating coach,Educare Solution,Gurugram,2-3 Yrs,MINCoachingSkating,Not disclosed,Education,2-3,2,3,0.0,0.0,False,0.0,18.0,2024-11-06,24.0,Entry,False,False
hospitality trainer cum admin executive,Gcc International School,Thane,3-5 Yrs,TrainingHospitalityHotel managementadmin executiveHotelManagementAdministration,Not disclosed,Education,3-5,3,5,0.0,0.0,False,0.0,18.0,2024-11-06,24.0,Mid,False,False
ux design lead,Athena Education,Gurugram,3-4 Yrs,User researchSkill developmentProduct innovationSocial mediaProject managementTool designResearchAdobe,Not disclosed,Education,3-4,3,4,0.0,0.0,False,0.0,18.0,2024-11-06,24.0,Mid,False,False
marketing and growth manager,Athena Education,Gurugram,1-3 Yrs,Customer acquisitionContent strategyData analysisoperational supportSocial mediaMarketing campaignsMarket researchcontent marketing,Not disclosed,Education,1-3,1,3,0.0,0.0,False,0.0,18.0,2024-11-06,24.0,Entry,False,False
accountant,Leams Education,Aluva,1-4 Yrs,Daily accountingBalanced FundsFinancial reportingAccountingFinanceBillingRetail lendingOffice management,Not disclosed,Education,1-4,1,4,0.0,0.0,False,0.0,18.0,2024-11-06,24.0,Entry,False,False
lab assistant   computer science lab,K R Mangalam University (Krmu),Gurugram,1-3 Yrs,Computer scienceAdministrationComputer hardwarePDFTime managementData collectionEquipment maintenanceResearch,Not disclosed,Education,1-3,1,3,0.0,0.0,False,0.0,18.0,2024-11-06,24.0,Entry,False,False
teacher,Ap International,Bathinda,1-4 Yrs,tgtbedteaching englishbiologymathematicstutoringteachingsocial science,Not disclosed,Education,1-4,1,4,0.0,0.0,False,0.0,18.0,2024-11-06,24.0,Entry,False,False
